group_id,source_sheet,source_row,service_no,guest_type,pax_clean,queue_start,queue_end,meal_start_clean,meal_end_clean,table_code,service_status,wait_minutes_recorded,wait_minutes_strict,meal_minutes,queue_observed,walkaway,queue_eligible,meal_eligible,pax_eligible,table_status,table_units_confirmed,needs_review,review_reason
173_56,173,57,56,Walk in,2,,,10:20:00,12:15:00,2,direct_meal,,,115.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_57,173,58,57,Walk in,1,,,10:28:00,11:08:00,1A,direct_meal,,,40.0,0,0,0,1,1,documented,1A,0,
173_58,173,59,58,In house,3,,,10:35:00,11:23:00,7B/7A,direct_meal,,,48.0,0,0,0,1,1,slash_needs_confirmation,,1,รหัสโต๊ะต้องยืนยัน
173_59,173,60,59,Walk in,2,,,10:37:00,11:09:00,10,direct_meal,,,32.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_60,173,61,60,Walk in,3,,,10:39:00,12:11:00,15,direct_meal,,,92.0,0,0,0,1,1,documented,15,0,
173_61,173,62,61,In house,2,,,10:40:00,11:24:00,14,direct_meal,,,44.0,0,0,0,1,1,documented,14,0,
173_62,173,63,62,Walk in,2,,,10:44:00,11:40:00,16,direct_meal,,,56.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_63,173,64,63,In house,1,,,10:50:00,11:30:00,8C,direct_meal,,,40.0,0,0,0,1,1,documented,8C,0,
173_64,173,65,64,Walk in,2,,,11:04:00,12:02:00,5,direct_meal,,,58.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_65,173,66,65,Walk in,1,,,11:05:00,11:25:00,6B,direct_meal,,,20.0,0,0,0,1,1,documented,6B,0,
173_66,173,67,66,Walk in,1,,,11:21:00,11:39:00,7A,direct_meal,,,18.0,0,0,0,1,1,documented,7A,0,
173_67,173,68,67,In house,2,,,11:24:00,11:48:00,9,direct_meal,,,24.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_68,173,69,68,Walk in,1,,,11:23:00,12:02:00,1,direct_meal,,,39.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_69,173,70,69,In house,1,,,11:43:00,12:04:00,7B,direct_meal,,,21.0,0,0,0,1,1,documented,7B,0,
183_1,183,2,1,Walk in,1,,,06:26:00,08:42:00,4A,direct_meal,,,136.0,0,0,0,1,1,documented,4A,0,
183_2,183,3,2,Walk in,2,,,06:44:00,07:44:00,11,direct_meal,,,60.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_3,183,4,3,Walk in,1,,,06:58:00,08:46:00,7A,direct_meal,,,108.0,0,0,0,1,1,documented,7A,0,
